module	trait	nObs	bicor	Z	t	p
yellowgreen	MEpink	43	-0.221201106091312	-1.44018210202379	1.45235560504955	0.15401326145659
yellowgreen	MEsalmon	43	-0.120855471305652	-0.777653606128136	0.779566732893129	0.440122930851497
yellowgreen	MEbrown	43	-0.280667428749931	-1.84670217657874	1.872409773984	0.0682936704925427
yellowgreen	MEyellow	43	-0.196302428906245	-1.27347808509769	1.28189006450688	0.207082883692543
yellowgreen	MEroyalblue	43	0.0809824670767234	0.519678837014709	0.520249543779133	0.605687733723383
yellowgreen	MEgrey60	43	0.139683410089651	0.900296373935349	0.903265650608789	0.371661513594627
yellowgreen	MEred	43	0.0803709301308826	0.515737436337017	0.516295253324778	0.608421778943965
yellowgreen	MEcyan	43	0.208733449504481	1.35648094523722	1.36664999726365	0.179183116544494
yellowgreen	MElightyellow	43	0.113708070233095	0.731249410162628	0.732839950472886	0.467825391108176
yellowgreen	MEblue	43	0.0691739384960335	0.443637834705932	0.443992856375046	0.659382330012581
yellowgreen	MEgreen	43	0.13884937449506	0.894850313015306	0.897765995104216	0.374552209957136
yellowgreen	MElightcyan	43	0.0526029601749445	0.337134477434134	0.337290265646953	0.737618785796477
yellowgreen	MEdarkred	43	0.304151133432764	2.01114174694849	2.04437209296131	0.0473743194825737
yellowgreen	MEgreenyellow	43	-0.116892543212684	-0.75191473280735	0.753644031883839	0.45536940361115
yellowgreen	MEgrey	43	-0.0438044322201259	-0.280664829475012	0.280754711033643	0.78031046700279
yellowgreen	group	43	0.0110320336510015	0.0706423480122899	0.070643781067471	0.944024726498978
yellowgreen	age	43	-0.00574527627273477	-0.0367881225261542	0.0367883249158894	0.970832321770649
yellowgreen	White_vs_nonwhite	43	0.0367376265296936	0.235341501461156	0.235394490956845	0.81507438410561
yellowgreen	apo	43	0.0586336605210655	0.375869743378551	0.37608564296958	0.708792327017236
yellowgreen	apo_hdp	14	-0.394129545452175	-1.44342069341909	1.4855530407251	0.163188725125447
yellowgreen	apo_gdm	14	0.48109129834987	1.81658615074639	1.90099831898812	0.0815832274519693
yellowgreen	apo_other	14	0.402582022365909	1.47822416606611	1.52349741807655	0.153544391436867
